credit	заслуга
eve	канун, преддверие
harvest	урожай
pagan	язычник
slaughter	убой, забой, жестокое убийство
custom	обычай, традиция
solstice	солнцестояние
feast	пир
fertility	плодородие
appreciate	ценить
What are you up to?	Чем занимаешься?
colloquial	разговорный, нелитературный
beats me	без понятия
dozen	дюжина
That figures	это логично
What a bummer!	облом
swear word	ругательное слово
omit	пропускать, не включать
rot	гнить
rotten	гнилой, тухлый
bitter	горький
sour	кислый
smooth	гладкий
stinky	вонючий
silk	шелк
flavour	вкус, аромат
thick	толстый
squeeze	выжимать
pear	груша
it was intended	предполагалось, так было задумано
enroll	зачислить, записываться
wind around	наматывать (обматывать)
breed	порода, разводить
jog	бегать трусцой
skull	череп
defy	бросать вызов, игнорировать
stove	кухонная плита
scent	запах
inhale	вдыхать, затягиваться
cardboard	картон
tingle	покалывание, покалывать
blob	жижа
underneath	под, накрытый чем-то
burst out	разразиться
crack someone up	рассмешить кого-то
lungs	лёгкие (орган)
chilly	прохладно
shallow	мелкий, неглубокий
heavy	тяжелый (по весу)
make some measures	принять меры
down the drain	впустую, коту под хвост
syllable	слог, звук
beg	просить, умолять
stick something out	терпеть что-то
endure	терпеть, выносить
no wonder that	не удивительно, что
overthrow	свергать
vault	хранилище, подвал
envy	зависть
nutrition	питание, пища
freak out	беситься, сходить с ума
soft (strong) drink	безалкогольный (алкогольный) напиток
dairy	молочный
commodities	товары широкого потребления
piston	поршень, клапан
displace	вытеснить, переместить
invoke	призывать, применять
holdout	несогласный
urge	побуждать, призывать
slam	захлопывать
thrust	толкать, тяга
recipe	рецепт
versatile	разносторонний, универсальный
beverage	напиток
habitable	пригодный для жизни
maintenance	обслуживание
appealing	обаятельный, привлекательный, притягательный
constraint	ограничение
durable	прочный, долговечный
rapid	быстрый, стремительный
purify	очищать
ever-increasing	постоянно увеличивающийся
site	место
assemble	собирать
carpenter	плотник, столяр
fold	складывать, сворачивать
cargo	груз
waste	тратить впустую, отходы
leftover	остаток
excuse	оправдание
flaw	недостаток, изъян
pinky	мизинец
thereof	из этого, из того
humerus	плечевая кость
sear	обжигать, жеч
chest	грудь
pecs	грудные мышцы
precise	точный, определенный
extent	степень, мера
slight (ly)	незначительный (слегка, немного)
minutiae	мелочи, детали
glutes	ягодицы
strap	ремень (не одежда)
sore	язва, болячка
squats	приседания
