courage (ous)	смелость (смелый)
frantic	безумный, неистовый, яростный
expell	исключать, выгонять
recede into the background	отходить на второй план
inhibit	препятствовать, подавлять
motto	девиз, лозунг
apron	фартук
don't back down	не отступай
retreat	отступать, отходить
grief (grieve)	горе (горевать, скорбеть)
measure of spread	мера разброса
primarily	в первую очередь, преимущественно
They foretell the end of the world	Они предвещают (предрекают) конец света
endow	наделять, одарять, жертвовать
alter	изменять, переделывать
look into	изучить, исследовать
be against something	быть против чего-либо
mend	чинить, ремонтировать
sew	пришивать, зашивать
so far	пока, до сих пор
retrieve	извлекать
obey	подчиняться, слушаться, повиноваться
tune	мелодия, настраивать
plum	слива
command prompt	командная строка
mutton dressed as lamb	молодящаяся дама, одетая не по возрасту
cage	помещать в клетку, клетка
grind wheat into flour	помоит пшеницу в муку
10 out of 12	10 из 12 (баллов)
shall we say	скажем так, так сказать
inadequately	неадекватно
internalize	усваивать
crumbs	крошки
trumpet	музыкальная труба
snore	храпеть, храп
decent	приличный, порядочный
I am good AT it	Я хорош В этом
satisfy	удовлетворять
conjugation	спряжение, соединение, сопряжение
slums	трущобы
sewage system	канализационная система
treadmill	беговая дорожка
kettlebell	гиря
scenery	пейзаж, вид
frustrated by/with	расстроенный, разочарованный
interlocutor	собеседник
compatibility	совместимость, сочетаемость
immerse	погружать, окунать
to each his own	каждому свое
walrus	морж
general population	генеральная совокупность
it reminds me of	это напоминает мне о
swipe	смахнуть
steep	крутой, отвесный
so far so good	Пока что все идет хорошо
taxi rank	парковка для такси
lentil	чечевица
within	внутри, в пределах
eclipse	затмение
on your way home	по пути домой
I didn't catch that	Я не расслышал
sailor	моряк
burglar	взломщик
resort to	прибегнуть к
bearable	терпимый, сносный
contempt	презрение, неуважение
disdain	презрение
gloomy	мрачный, угрюмый
voluntary (ily)	добровольный
pants	штаны, брюки
merge	сливаться, соединяться
patty	пирожок, котлета
hive	рой, улей
beaver	бобер
tactlessly	бестактно
grin	ухмылка, ухмыляться
peasant	крестьянин
up to you	на ваше усмотрение
restrain	сдерживать, ограничивать
twin	близнец, двойник
reply	отвечать
twitch	дёргаться, поддергивание
font	шрифт
joint	сустав
attitude	позиция; отношение, относиться
stuff	засовывать, набивать, фаршировать
cap	кепка, шапка, колпачок
shatter	раздробить, разбить вдребезги
throw a wish in the well	загадать желание
contemplate	созерцать, размышлять
ponder	обдумывать, взвешивать, размышлять
arrow	стрела
moderate	умеренный, сдержанный
barrel	бочка, ствол
superficial	поверхностный, неглубокий
attendance	посещаемость
obnoxious	неприятный, противный
pale tinted	бледный оттенок
dim	тусклый
residual	остаток, остаточный
partical	частица, частичный
derivative	производная
