sweat	потеть, пот
bargain	выгодная покупка, хорошая сделка
underwear	нижнее белье
blazer	пиджак
checkers	шашки
hide and seek	прятки
seek for	искать
clue	подсказка, улика
I have no clue	Понятия не имею
I forgot about it for a while	Я забыл об этом на какое то время
by all means	во что бы то ни стало
currency	валюта
odd numbers	нечетные числа
even number	четное число
Don't mind if I do	не откажусь
ditch	канава, окапывать, бросать
perpetuate	увековечить, сохранить навсегда
diligent	прилежный, старательный
inevitable	неизбежный
pop up	выскакивать
eliminate	устранять, исключать
horrendous	страшный, ужасный, вселяющий ужас
outright	прямой, открытый
incline	склоняться, наклонять
outwardly	внешне, снаружи
hustler	мошенник
hypocrite	лицемер
equipment	оборудование, снаряжение
inundate	затоплять
charge (money)	брать плату за
debt	долг
mortgage	ипотека
apart from	помимо, кроме
Was it worth it?	оно того стоило?
puddle	лужа
refugee	беженец
confess	признаваться
itch	чесаться
slick	хитрый, скользкий
band	лента, повязка
broadband	широкополосная сеть (телефония, телевидение)
get around	передвигаться
moist	влажный, сырой
tap	кран
work around	обойти проблему
off the charts	выше всяких похвал
phony	фальшивый, поддельный
manifold	многообразие
condone	мириться с, смотреть сквозь пальцы, оправдывать
consent	согласие, разрешение
permission	разрешение, позволение
invade	вторгаться
oppress	подавлять, угнетать
vast	огромный, обширный
lots of times	много раз
tin	консервная банка
regret	сожалеть
fortune	состояние (денежн.)
wealth	богатство, состояние
annual	ежегодный
GDP	ВВП
obscure	непонятный; невразумительный, неясный
tycoon	магнат
lucrative	прибыльный
prominence	известность
pledge	залог, обещание
invincible	непобедимый
acute question/pain	острый вопрос/боль
sink	раковина
hand in hand	рука об руку
overdraft	перерасход
withdraw	обналичивать
acquaintances	знакомые
resurrection	воскрешение
dice	игральная кость
downside	недостаток
cumbersome	громоздкий, обременительный
plot twist	сюжетный поворот
relic	реликвия
breach	нарушение
gradually	понемногу, постепенно
vulnerable	уязвимый
harvest	собирать
patchy	неоднородный, пятнистый
tear	разрывать
in the first place	в первую очередь, изначально
regardless of	независимо от
strangle	душить
huff and puff	тяжело дышать, пыхтеть
hut	хижина, лачуга
malnutrition	недоедание
hunger	голод
repel	отталкивать
lorry	грузовик
it's high time	давно пора, самое время
to talk nonsense	нести чушь, говорить ерунду
