vapor	пар
wrap up	резюмировать
hoax	обман, мистификация
endurance	выносливость, стойкость
rabies	бешенство
reps	повторения
lower back	поясница
sorrow	горе, печаль, скорбь
I can't help it	Я ничего не могу поделать
sprout	росток
Brussels sprouts	брюссельская капуста
emerge	появляться, возникать, всплывать
starch	крахмал
smudge	пятно, мазаться, пачкаться
overall	в общем и целом
teeny	крошечный
film	пленка
viscous	вязкий
enclose	окружать, заключать
lid	крышка
bond	связь, узы
crust	корочка
repulsive	отвратительный
melt	таять, плавить
plenty	множество, избыток
tray	лоток, поднос
vest	жилет
bunch	связка, множество
stir	перемешивать
stick	приклеивать
Mediterranean	средиземноморский
survey	опрос
oat	овес
spoon	ложка
thicken	сгущаться
substitute	заменять, заменитель
pinch	щепотка, зажимать
thorough	тщательный
pulp	мякоть
whisk	венчик
pour	наливать
abundance	изобилие
caution	осторожность
roast	жарить
harsh	суровый
kidnapping	похищение
It is a no brainer	это и ежу понятно
ore	руда
questinable	сомнительный
controversial	спорный, сомнительный
siblings	братья и сестры
nephew	племянник
gasp	задыхаться
row	ссора
gap	разрыв, пробел
cemetery	кладбище
guerrilla	партизан
mold	плесень
commode	комод
thirst	жажда
drench	промокать
quench	утолить, тушить 
rally	объединять, собирать
rubble	обломки
line up	выстраиваться в линию
commit	совершать
don't dare to	не смей
bury	хоронить
smother	душить
greed	жадность
crawl	ползать
grave	могила
drag	тащить
betray	предавать
scope	рамки, масштаб
noose	петля
rape	изнасилование
overseer	надзиратель
swallow	глотать
Is anyone moving house?	Кто то переезжает?
tires	шины, покрышки
common sense	здравый смысл
stubborn	упрямый
spoil	портить
spoilt	избалованный
rebellious	мятежный, бунтарский
affectionate	любящий
mature	зрелый, взрослый
charming	очаровательный
insecure	неуверенный
moody	капризный, зависимый от настроения
in a row	подряд
edible	съедобный
spill	проливать
spill the beans	выдать секрет, проболтаться
rural	сельский
